Rule_ID,Rule_Score,support_rate,support_count,Concentration_Est,Avg_Sigma,Deviation,Quadrant,NumAttr,X(t+1)_mean,X(t+1)_sigma,X(t+2)_mean,X(t+2)_sigma,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8
440,0.00013680620899984651,0.0041,17,0.3350083752093802,0.9925,10.04,Q2(-+),3,-0.486,1.229,0.4,0.756,GBPJPY_Up(t-5),USDCHF_Up(t-2),EURCHF_Stay(t-0),0,0,0,0,0
274,0.0001366847645218648,0.0046,19,0.29832935560859186,1.1760000000000002,10.04,Q3(--),4,-0.476,1.127,-0.422,1.225,USDCHF_Up(t-0),EURGBP_Down(t-0),EURCHF_Stay(t-1),AUDCAD_Up(t-3),0,0,0,0
95,0.00013208462808882352,0.0027,11,0.4911591355599214,0.518,10.04,Q4(+-),6,0.173,0.592,-0.044,0.444,USDJPY_Down(t-5),EURJPY_Up(t-4),NZDJPY_Down(t-4),GBPCAD_Down(t-5),AUDCAD_Down(t-0),AUDNZD_Down(t-2),0,0
284,0.00013168479926448055,0.0044,18,0.3004807692307692,1.164,10.04,Q3(--),3,-0.504,1.132,-0.388,1.196,CADJPY_Up(t-4),EURCHF_Stay(t-0),AUDNZD_Up(t-5),0,0,0,0,0
31,0.00013018043550779864,0.0024,10,0.39840637450199207,0.755,7.345,Q1(++),6,0.668,0.732,0.106,0.778,CADJPY_Down(t-5),EURUSD_Up(t-5),GBPUSD_Down(t-2),AUDUSD_Up(t-5),USDCHF_Up(t-5),EURCHF_Down(t-1),0,0
624,0.0001273372351584473,0.0032,13,0.3995205753096284,0.7515000000000001,10.04,Q1(++),5,0.413,0.691,0.382,0.812,AUDJPY_Down(t-4),AUDUSD_Up(t-4),NZDUSD_Up(t-0),USDCHF_Down(t-3),AUDCAD_Down(t-0),0,0,0
457,0.00012667929236947283,0.0024,10,0.5299417064122947,0.4435,10.04,Q2(-+),6,-0.131,0.471,0.059,0.416,GBPJPY_Up(t-2),EURJPY_Up(t-4),AUDJPY_Down(t-4),USDCAD_Down(t-4),GBPAUD_Up(t-4),AUDNZD_Up(t-0),0,0
54,0.00012283855328941171,0.0024,10,0.513874614594039,0.473,10.04,Q1(++),6,0.26,0.574,0.175,0.372,GBPJPY_Up(t-2),USDJPY_Up(t-4),EURJPY_Down(t-4),AUDUSD_Up(t-5),NZDUSD_Down(t-0),EURAUD_Up(t-5),0,0
49,0.0001226494739359647,0.0024,10,0.5130836326321191,0.4745,10.04,Q2(-+),6,-0.089,0.366,0.358,0.583,GBPJPY_Up(t-3),GBPJPY_Down(t-1),USDJPY_Up(t-1),EURJPY_Down(t-1),CADJPY_Down(t-3),GBPCAD_Down(t-0),0,0
330,0.00012030388762012846,0.0024,10,0.5032712632108707,0.4935,10.04,Q4(+-),3,0.097,0.472,-0.32,0.515,NZDJPY_Up(t-4),GBPUSD_Up(t-2),EURCHF_Stay(t-0),0,0,0,0,0
283,0.00012024927381170257,0.0041,17,0.2944640753828033,1.198,10.04,Q3(--),3,-0.479,1.172,-0.437,1.224,NZDJPY_Up(t-4),EURCHF_Stay(t-0),AUDNZD_Up(t-5),0,0,0,0,0
392,0.00011951025281373776,0.0041,17,0.292654375182909,1.2085,10.04,Q3(--),3,-0.513,1.186,-0.392,1.231,EURJPY_Up(t-4),EURCHF_Stay(t-0),AUDNZD_Up(t-5),0,0,0,0,0
397,0.00010815572851732265,0.0022,9,0.493583415597236,0.513,10.04,Q4(+-),6,0.369,0.805,-0.007,0.221,USDCAD_Up(t-1),EURGBP_Up(t-5),GBPAUD_Up(t-3),GBPAUD_Down(t-2),GBPCAD_Up(t-2),AUDNZD_Down(t-2),0,0
166,0.00010014785465086641,0.0022,9,0.45703839122486295,0.594,10.04,Q4(+-),3,0.369,0.722,-0.203,0.466,EURJPY_Up(t-1),EURGBP_Down(t-5),EURCHF_Stay(t-5),0,0,0,0,0
226,9.980953014663683e-05,0.0024,10,0.4175365344467641,0.6975,10.04,Q1(++),6,0.266,0.776,0.507,0.619,USDJPY_Up(t-1),NZDUSD_Up(t-1),NZDUSD_Down(t-4),USDCAD_Up(t-1),EURGBP_Down(t-0),GBPAUD_Down(t-4),0,0
442,9.960159362549803e-05,0.0019,8,0.5263157894736842,0.44999999999999996,10.04,Q1(++),3,0.111,0.422,0.087,0.478,CHFJPY_Up(t-1),AUDUSD_Up(t-1),EURCHF_Stay(t-5),0,0,0,0,0
196,9.53540060818519e-05,0.0022,9,0.4351610095735422,0.649,10.04,Q4(+-),3,0.316,0.439,-0.306,0.859,CADJPY_Down(t-5),USDCAD_Up(t-3),EURCHF_Stay(t-2),0,0,0,0,0
163,9.387054954784039e-05,0.0019,8,0.49603174603174605,0.508,10.04,Q2(-+),6,-0.156,0.532,0.091,0.484,GBPJPY_Down(t-0),EURJPY_Down(t-5),AUDJPY_Up(t-0),CADJPY_Up(t-2),EURCHF_Up(t-0),AUDCAD_Up(t-2),0,0
589,8.888822352674787e-05,0.0019,8,0.4697040864255519,0.5645,10.04,Q2(-+),4,-0.177,0.508,0.121,0.621,USDJPY_Up(t-4),NZDJPY_Down(t-5),NZDUSD_Down(t-5),EURCHF_Stay(t-0),0,0,0,0
305,8.878319669489755e-05,0.0027,11,0.3301419610432486,1.0145,10.04,Q2(-+),3,-0.528,1.428,0.563,0.601,USDJPY_Up(t-2),CHFJPY_Up(t-4),EURCHF_Stay(t-1),0,0,0,0,0
399,8.577644841101653e-05,0.0017,7,0.5065856129685917,0.487,10.04,Q4(+-),5,0.189,0.595,-0.211,0.379,USDJPY_Up(t-3),AUDJPY_Down(t-5),CADJPY_Down(t-3),CHFJPY_Up(t-5),NZDUSD_Up(t-3),0,0,0
200,8.576486247890184e-05,0.0015,6,0.574052812858783,0.371,10.04,Q1(++),6,0.118,0.241,0.245,0.501,USDJPY_Down(t-1),AUDJPY_Up(t-4),AUDJPY_Down(t-3),CHFJPY_Up(t-5),EURUSD_Up(t-0),USDCHF_Up(t-0),0,0
354,8.459679387056156e-05,0.0019,8,0.44702726866338843,0.6185,10.04,Q1(++),6,0.276,0.48,0.359,0.757,GBPJPY_Down(t-4),NZDJPY_Up(t-2),CADJPY_Down(t-2),EURUSD_Down(t-1),NZDUSD_Up(t-0),EURCHF_Up(t-5),0,0
208,7.817299592028931e-05,0.0017,7,0.46168051708217916,0.583,10.04,Q3(--),3,-0.17,0.398,-0.053,0.768,AUDUSD_Up(t-2),EURCHF_Stay(t-1),AUDCAD_Down(t-0),0,0,0,0,0
740,6.01344225892743e-05,0.0019,8,0.31776294884016526,1.0735,10.04,Q2(-+),4,-0.762,1.581,0.521,0.566,CHFJPY_Up(t-3),USDCHF_Down(t-3),EURCHF_Stay(t-1),GBPAUD_Down(t-2),0,0,0,0
518,5.8451639451583345e-05,0.0015,6,0.39123630672926446,0.778,10.04,Q1(++),6,0.335,1.046,0.078,0.51,EURJPY_Down(t-2),AUDJPY_Down(t-3),AUDUSD_Up(t-3),NZDUSD_Up(t-2),EURGBP_Down(t-1),EURCHF_Up(t-3),0,0
572,4.854667439098197e-05,0.0012,5,0.4061738424045491,0.7310000000000001,10.04,Q4(+-),3,0.054,0.368,-0.68,1.094,CHFJPY_Up(t-1),EURGBP_Down(t-4),EURCHF_Stay(t-5),0,0,0,0,0
343,4.657389147484878e-05,0.0007,3,0.6680026720106881,0.2485,10.04,Q3(--),3,-0.03,0.233,-0.177,0.264,AUDUSD_Down(t-5),USDCHF_Down(t-3),EURCHF_Stay(t-2),0,0,0,0,0
63,4.391604657208908e-05,0.001,4,0.4409171075837743,0.634,10.04,Q4(+-),6,0.665,0.592,-0.165,0.676,EURJPY_Down(t-0),AUDJPY_Up(t-5),CADJPY_Down(t-5),USDCAD_Down(t-1),EURAUD_Down(t-0),GBPAUD_Up(t-5),0,0
66,4.032453183218543e-05,0.0012,5,0.33738191632928477,0.982,10.04,Q2(-+),3,-0.264,1.026,0.722,0.938,NZDJPY_Down(t-1),AUDUSD_Down(t-0),EURCHF_Stay(t-3),0,0,0,0,0
611,3.708569975417479e-05,0.0007,3,0.5319148936170213,0.43999999999999995,10.04,Q4(+-),3,0.253,0.312,-0.417,0.568,CHFJPY_Up(t-1),EURAUD_Down(t-1),EURCHF_Stay(t-5),0,0,0,0,0
638,3.2233525445144996e-05,0.0005,2,0.6472491909385114,0.27249999999999996,10.04,Q3(--),6,-0.085,0.064,-0.41,0.481,USDJPY_Down(t-5),AUDJPY_Down(t-2),NZDJPY_Down(t-4),CADJPY_Up(t-2),NZDUSD_Down(t-5),USDCAD_Down(t-0),0,0
101,2.356969283190645e-05,0.0012,5,0.19719976336028397,2.0355,10.04,Q3(--),3,-1.36,1.894,-0.892,2.177,NZDUSD_Up(t-2),EURAUD_Down(t-5),EURCHF_Stay(t-0),0,0,0,0,0
315,2.1577468289752604e-05,0.0005,2,0.43327556325823224,0.6539999999999999,10.04,Q4(+-),3,0.1,0.566,-0.035,0.742,NZDJPY_Up(t-0),CADJPY_Up(t-5),EURCHF_Stay(t-4),0,0,0,0,0
24,1.8666965338112076e-05,0.0007,3,0.2677376171352075,1.3675,10.04,Q2(-+),6,-0.023,0.239,1.537,2.496,EURJPY_Up(t-5),CHFJPY_Down(t-1),EURUSD_Up(t-1),EURAUD_Down(t-2),GBPAUD_Up(t-2),AUDCAD_Down(t-4),0,0
219,1.7928286852589643e-05,0.0002,1,0.9,0.0,10.04,Q2(-+),3,-0.15,0.0,0.58,0.0,AUDJPY_Down(t-5),EURAUD_Up(t-4),EURCHF_Stay(t-2),0,0,0,0,0
