stock_code,volatility_std,mean_x,abs_mean_x,min_x,max_x,range,count
7911,1.8920606078951872,0.020104403948367502,1.3378227031131358,-13.98,16.18,30.16,5268
3382,1.8912399250345078,0.03318716780561883,1.1719722854973427,-11.91,55.56,67.47,5268
9503,1.8888462604155698,0.014869020501138952,1.2536123766135154,-14.74,17.65,32.39,5268
1721,1.872196811290067,0.05277334851936218,1.184838648443432,-16.44,15.34,31.78,5268
4503,1.8450430758830947,0.04145975702353835,1.2998462414578589,-12.38,13.81,26.19,5268
1928,1.8438936729757809,0.043411161731207286,1.2916192103264996,-11.69,14.96,26.65,5268
9432,1.8362943305456358,0.016195899772209574,1.291514806378132,-14.74,11.16,25.9,5268
7912,1.8274191590666422,0.01616552771450265,1.2945368261199697,-15.15,16.13,31.28,5268
9602,1.8272654947635065,0.04018223234624145,1.2542938496583143,-16.09,13.4,29.490000000000002,5268
8306,1.8264033501391443,0.002479119210326492,1.0822475322703113,-14.64,15.76,30.4,5268
9735,1.8236243702215065,0.019794988610478362,1.2674221716021261,-13.19,14.78,27.97,5268
7203,1.82326326018875,0.033832574031890654,1.2807536066818528,-11.59,15.53,27.119999999999997,5268
9506,1.8216101360589931,0.013838268792710707,1.131742596810934,-21.21,21.51,42.72,5268
3659,1.8199594553332723,0.0480125284738041,0.7795501138952164,-24.46,20.84,45.3,5268
5019,1.8076838612402018,0.019806378132118448,1.0627107061503416,-13.11,13.55,26.66,5268
9009,1.8050882001360624,0.05546886864085041,1.2762433561123767,-13.81,18.76,32.57,5268
2801,1.8014858852435274,0.06514047076689446,1.2651176917236142,-17.5,14.11,31.61,5268
8725,1.7630040037539514,0.019717160212604404,0.933950265755505,-16.43,12.78,29.21,5268
9509,1.7523192457041954,-0.0031548974943052415,1.1259339407744875,-11.98,17.16,29.14,5268
9202,1.7354696454605698,0.01438496583143508,1.176784358390281,-14.87,18.06,32.93,5268
9508,1.7308316837557627,0.011748291571753985,1.1003473804100228,-13.44,21.6,35.04,5268
2503,1.7235205681951975,0.03837129840546698,1.209760820045558,-11.65,15.13,26.78,5268
4732,1.7176939033468364,0.06224943052391799,1.1669608959757023,-11.49,11.84,23.33,5268
9021,1.7174195256536415,0.030011389521640095,1.1925664388762338,-11.49,15.5,26.990000000000002,5268
2002,1.6847381112051458,0.04168375094912681,1.1755410022779043,-16.28,10.53,26.810000000000002,5268
9022,1.6734531352147595,0.031040242976461657,1.156294608959757,-12.59,14.85,27.439999999999998,5268
8113,1.6713559230159099,0.05505694760820046,1.176856492027335,-12.14,13.49,25.630000000000003,5268
4452,1.6621313887595173,0.04018033409263478,1.1757004555808657,-12.69,14.53,27.22,5268
2802,1.6592415374844853,0.03280941533788914,1.142714502657555,-13.99,12.99,26.98,5268
9020,1.657225108455948,0.023483295368261197,1.1584643128321943,-18.35,15.5,33.85,5268
9502,1.6391213652059315,0.01688496583143508,1.1150398633257403,-13.32,13.53,26.85,5268
2502,1.6285616893141945,0.04454252088078967,1.1697095671981776,-12.4,9.73,22.130000000000003,5268
4502,1.6246361048297255,0.021152239939255885,1.1158105542900532,-13.09,12.24,25.33,5268
8750,1.6133173310058824,0.016674259681093397,0.8297494305239181,-18.87,12.41,31.28,5268
9008,1.5229435034863692,0.044791192103265,1.0660592255125287,-12.3,13.64,25.94,5268
9532,1.5224869518361537,0.030167046317387994,1.0637205770690965,-10.33,12.22,22.55,5268
4661,1.454101453554486,0.05461845102505695,0.9519570994684889,-16.22,11.86,28.08,5268
9007,1.4472562318851527,0.04530372057706909,1.0204783599088838,-10.24,11.86,22.1,5268
9001,1.4251571489509294,0.02755315110098709,1.0154802581624904,-12.09,11.57,23.66,5268
8630,1.4223282848885166,0.02391419893697798,0.7439825360668185,-11.59,12.92,24.509999999999998,5268
9504,1.4179538405607295,0.0161085801063022,0.9245937737281701,-9.69,12.12,21.81,5268
4578,1.1264271632119451,0.024424829157175403,0.5340223993925588,-13.62,11.29,24.909999999999997,5268
6098,1.119988472615578,0.03334092634776006,0.41821943811693246,-11.72,14.23,25.950000000000003,5268
3863,1.096701053363063,0.005892179195140469,0.474958238420653,-10.0,10.58,20.58,5268
7186,0.9923487405911807,0.00028473804100227995,0.3414578587699317,-9.33,13.62,22.95,5268
1333,0.9247382532973641,0.010045558086560363,0.3647608200455581,-8.66,11.84,20.5,5268
6178,0.7313111826499715,-0.008807896735003798,0.23508352315869402,-9.18,11.1,20.28,5268
9434,0.3765051916712663,0.0032137433561123772,0.08037395596051632,-5.04,7.02,12.059999999999999,5268
