feature,n_outliers,outlier_percentage,mean,std
support_rate,0,0.0,0.40790499999999996,0.010194617735316554
X_mean_rule,0,0.0,0.0038500000000000006,0.008991591513670866
X_sigma_rule,0,0.0,0.5137,0.0818748889214357
n_matches,0,0.0,1679.725,42.23073828871876
