cluster,support_rate,X_mean_rule,X_sigma_rule,n_matches
0,0.40209130434782603,0.007043478260869565,0.5563913043478261,1655.7391304347825
1,0.4237375,0.003875,0.540875,1745.5
2,0.4086888888888889,-0.004333333333333333,0.3804444444444444,1682.5555555555557
